paymentDayOfMonth,telephone,email,firstName,surname,jobRate
20,"515 993 078","gsiedlaczek@aptekarz.pl","Siedlaczek","Gabriela",25
20,"16 076 904","mkowalczyk@onet.pl","Kowalczyk","Marek",25
20,"549 528 073","azieliński@bialan.pl","Zieliński","Adam",10
20,"622 607 246","mkraczkowski@interia.pl","Kraczkowski","Marek",25
20,"550 484 021","jorzechowski@interia.pl","Orzechowski","Jarosław",30
20,"844 321 089","wborowiak@interia.pl","Borowiak","Witold",30
20,"186 061 654","rgrupiński@nocny-kwartet.pl","Grupiński","Robert",30
20,"156 316 589","bszydłowska@bialan.pl","Szydłowska","Bolesław",1
20,"676 260 145","esmolarz@onet.pl","Smolarz","Eugeniusz",30
20,"157 148 056","rhajdak@aptekarz.pl","Hajdak","Renata",30
20,"511 895 693","kłuczak@interia.pl","Łuczak","Krzysztof",30
20,"438 428 473","lkutz@onet.pl","Kutz","Lucjan",25
20,"169 041 914","jpałys@onet.pl","Pałys","Jarosław",30
20,"641 452 742","jraniewicz@nocny-kwartet.pl","Raniewicz","Jacek",10
20,"130 064 783","mkania@bialan.pl","Kania","Mirosław",10
20,"642 962 608","bśledzińska-katarasińska@interia.pl","Śledzińska-Katarasińska","Bogusław",20
20,"817 960 780","jniesiołowski@aptekarz.pl","Niesiołowski","Joanna",30
20,"972 928 713","awykręt@aptekarz.pl","Wykręt","Andrzej",20
20,"254 217 543","dstreker-dembińska@interia.pl","Streker-Dembińska","Dariusz",25
20,"214 720 296","awalkowiak@wp.pl","Walkowiak","Arkadiusz",25
20,"662 118 101","awróbel@aptekarz.pl","Wróbel","Andrzej",30
20,"266 304 224","esopliński@wp.pl","Sopliński","Elżbieta",25
20,"288 002 429","jreliga@bialan.pl","Religa","Jacek",25
20,"760 889 569","kmatuszewski@interia.pl","Matuszewski","Konstanty",30
20,"62 055 370","jpopiołek@onet.pl","Popiołek","Jadwiga",25
20,"215 356 477","azakrzewska@interia.pl","Zakrzewska","Andrzej",20
20,"686 972 183","jplura@interia.pl","Plura","Jan",20
20,"21 636 950","lkuriata@wp.pl","Kuriata","Ludwik",25
20,"786 470 110","sfilar@interia.pl","Filar","Stanisław",10
20,"546 236 032","jpolak@bialan.pl","Polak","Jan",30
20,"520 394 269","awitaszczyk@onet.pl","Witaszczyk","Andrzej",30
20,"959 658 795","esośnierz@aptekarz.pl","Sośnierz","Elżbieta",25
20,"741 823 294","pjanowska@interia.pl","Janowska","Piotr",30
20,"591 740 647","btchórzewski@aptekarz.pl","Tchórzewski","Bogdan",30
20,"623 388 702","kmojzesowicz@onet.pl","Mojzesowicz","Kazimierz",30
20,"96 743 467","mkempa@wp.pl","Kempa","Mieczysław",10
20,"531 054 706","atusk@nocny-kwartet.pl","Tusk","Artur",25
20,"760 094 842","nkaczor@interia.pl","Kaczor","Norbert",10
20,"598 725 543","sgodson@nocny-kwartet.pl","Godson","Sławomir",10
20,"297 409 307","jpawlak@onet.pl","Pawlak","Janusz",25
20,"96 898 579","azych@interia.pl","Zych","Adam",25
20,"961 842 161","joświęcimski@onet.pl","Oświęcimski","Jarosław",30
20,"456 520 309","bszydło@aptekarz.pl","Szydło","Bożena",30
20,"521 270 797","mkozak@onet.pl","Kozak","Marek",25
20,"444 471 213","jpierzchała@wp.pl","Pierzchała","Jan",25
20,"158 830 681","kmasłowska@interia.pl","Masłowska","Krystyna",10
20,"201 084 495","tdrab@interia.pl","Drab","Tadeusz",30
20,"123 310 985","tczesak@aptekarz.pl","Czesak","Tadeusz",30
20,"949 474 395","grząsa@wp.pl","Rząsa","Grzegorz",20
20,"376 850 489","btomaszewski@wp.pl","Tomaszewski","Bartosz",25
20,"777 347 145","cszczypińska@interia.pl","Szczypińska","Czesław",30
20,"428 466 597","awęgrzyn@interia.pl","Węgrzyn","Anna",25
20,"825 670 273","jpawlak@nocny-kwartet.pl","Pawlak","Janusz",25
20,"371 867 435","mkorzeniowski@interia.pl","Korzeniowski","Marek",30
20,"645 666 739","jolechowska@wp.pl","Olechowska","Jerzy",25
20,"485 228 538","mkozdroń@interia.pl","Kozdroń","Marek",30
20,"568 428 754","gsekuła@onet.pl","Sekuła","Grzegorz",25
20,"230 095 433","llenz@interia.pl","Lenz","Leszek",10
20,"507 429 879","ażyliński@interia.pl","Żyliński","Adam",25
20,"50 721 240","azaremba@onet.pl","Zaremba","Alicja",10
20,"648 844 969","dstec@onet.pl","Stec","Donald",10
20,"405 909 990","mkrasulski@interia.pl","Krasulski","Marek",25
20,"707 488 894","jmularczyk@interia.pl","Mularczyk","Józef",30
20,"895 870 758","azbrzyzny@interia.pl","Zbrzyzny","Agnieszka",1
20,"394 902 770","awaśko@bialan.pl","Waśko","Anna",30
20,"76 582 970","jpolaczek@onet.pl","Polaczek","Jan",25
20,"110 471 752","wbury@bialan.pl","Bury","Waldemar",25
20,"956 950 702","jołowski@aptekarz.pl","Ołowski","Jerzy",30
20,"396 516 799","llis@onet.pl","Lis","Lech",1
20,"137 103 254","wbańkowska@interia.pl","Bańkowska","Wojciech",25
20,"443 909 468","azdrojewski@wp.pl","Zdrojewski","Agnieszka",10
20,"731 628 220","mkarski@onet.pl","Karski","Mirosław",20
20,"197 384 128","kmartyniuk@aptekarz.pl","Martyniuk","Krzysztof",30
20,"266 058 236","ażalek@interia.pl","Żalek","Adam",25
20,"901 291 582","esławiak@wp.pl","Sławiak","Eugeniusz",25
20,"11 527 783","pjanik@interia.pl","Janik","Piotr",30
20,"244 262 317","mkidawa-błońska@interia.pl","Kidawa-Błońska","Michał",30
20,"669 880 106","jolendzka@interia.pl","Olendzka","Jerzy",25
20,"746 710 688","wbrejza@interia.pl","Brejza","Witold",10
20,"108 436 713","jrakoczy@aptekarz.pl","Rakoczy","Jacek",45
20,"532 923 253","tczechyra@interia.pl","Czechyra","Teresa",20
20,"706 743 617","rguzowska@interia.pl","Guzowska","Robert",25
20,"490 253 600","hryniak@interia.pl","Ryniak","Halina",20
20,"415 667 073","awójcik@onet.pl","Wójcik","Andrzej",30
20,"314 973 542","bsztorc@interia.pl","Sztorc","Bronisław",20
20,"353 318 681","iroszak@interia.pl","Roszak","Iwona",20
20,"563 506 689","wborowczak@onet.pl","Borowczak","Witold",30
20,"941 589 919","awargocka@interia.pl","Wargocka","Antoni",10
20,"981 685 388","tchmielewski@onet.pl","Chmielewski","Tomasz",10
20,"961 324 576","sfiedler@aptekarz.pl","Fiedler","Stanisław",10
20,"716 109 160","azbonikowski@bialan.pl","Zbonikowski","Aldona",25
20,"60 354 229","kmachałek@onet.pl","Machałek","Krzysztof",30
20,"564 326 111","kmałecka-libera@interia.pl","Małecka-Libera","Krzysztof",30
20,"414 124 362","jpiechota@wp.pl","Piechota","Jan",30
20,"803 175 574","kmatuszczak@onet.pl","Matuszczak","Krystyna",10
20,"275 102 191","gsadurska@bialan.pl","Sadurska","Grzegorz",30
20,"373 476 070","llitwiński@onet.pl","Litwiński","Lech",25
20,"328 608 684","awontor@onet.pl","Wontor","Andrzej",30
20,"32 762 441","kmłynarczyk@wp.pl","Młynarczyk","Kazimierz",10
20,"149 438 913","zaziewicz@nocny-kwartet.pl","Aziewicz","Zbigniew",25
20,"515 391 067","pjastrzębski@interia.pl","Jastrzębski","Paweł",10
20,"512 337 393","wbąk@onet.pl","Bąk","Wojciech",25
20,"146 266 814","uchlebowski@aptekarz.pl","Chlebowski","Urszula",25
20,"263 632 645","tcieśliński@wp.pl","Cieśliński","Tomasz",20
20,"731 226 380","btelus@interia.pl","Telus","Beata",30
20,"944 615 447","kmężydło@interia.pl","Mężydło","Kazimierz",10
20,"502 155 704","irusiecki@interia.pl","Rusiecki","Iwona",25
20,"669 373 828","kmaterna@aptekarz.pl","Materna","Krystyna",30
20,"658 990 754","sgałażewski@interia.pl","Gałażewski","Stanisław",30
20,"509 560 785","mkochanowski@interia.pl","Kochanowski","Mariusz",20
20,"362 029 548","irogacki@aptekarz.pl","Rogacki","Izabella",30
20,"767 852 106","irutkowska@interia.pl","Rutkowska","Irena",30
20,"917 188 755","jpiotrowska@nocny-kwartet.pl","Piotrowska","Jan",25
20,"386 067 632","kłybacka@aptekarz.pl","Łybacka","Krzysztof",10
20,"542 692 102","jpająk@bialan.pl","Pająk","Jarosław",25
20,"969 760 951","kmaliszewski@bialan.pl","Maliszewski","Krzysztof",30
20,"368 278 956","jraczkowski@aptekarz.pl","Raczkowski","Jacek",25
20,"912 898 562","kmroczek@interia.pl","Mroczek","Karol",30
20,"759 370 016","sgołojuch@onet.pl","Gołojuch","Sławomir",30
20,"785 380 612","mkropiwnicki@interia.pl","Kropiwnicki","Małgorzata",10
20,"769 578 581","irusinowska@bialan.pl","Rusinowska","Ireneusz",25
20,"850 257 775","zarkit@interia.pl","Arkit","Zbigniew",25
20,"136 253 165","jolszewski@wp.pl","Olszewski","Jerzy",30
20,"167 407 155","kmaciejewski@onet.pl","Maciejewski","Krzysztof",30
20,"794 812 764","jnaguszewski@aptekarz.pl","Naguszewski","Józef",25
20,"496 423 794","tczartoryski@interia.pl","Czartoryski","Teresa",30
20,"32 475 480","wbartuś@aptekarz.pl","Bartuś","Wojciech",10
20,"729 005 463","aworach@interia.pl","Worach","Andrzej",10
20,"605 163 470","awikiński@interia.pl","Wikiński","Anita",10
20,"83 757 028","rhanajczyk@aptekarz.pl","Hanajczyk","Radosław",10
20,"588 390 039","wbiernacki@interia.pl","Biernacki","Wojciech",20
20,"217 911 364","mkamiński@wp.pl","Kamiński","Mirosława",25
20,"337 561 378","mkosecki@aptekarz.pl","Kosecki","Marek",20
20,"611 771 145","awitek@aptekarz.pl","Witek","Andrzej",25
20,"920 451 919","mkołakowski@interia.pl","Kołakowski","Marian",25
20,"874 486 463","jpomajda@interia.pl","Pomajda","Jan",25
20,"164 585 478","wbrodniak@wp.pl","Brodniak","Wiesław",45
20,"201 470 472","awenderlich@interia.pl","Wenderlich","Anna",25
20,"65 708 469","mkilian@onet.pl","Kilian","Michał",10
20,"960 281 430","jokła-drewnowicz@nocny-kwartet.pl","Okła-Drewnowicz","Jerzy",25
20,"264 388 941","tdorn@nocny-kwartet.pl","Dorn","Tadeusz",30
20,"661 423 210","dszarama@nocny-kwartet.pl","Szarama","Damian",10
20,"505 184 648","awiśniewska@wp.pl","Wiśniewska","Andrzej",25
20,"758 403 314","dsuchowiejko@onet.pl","Suchowiejko","Dariusz",25
20,"94 322 285","csztolcman@interia.pl","Sztolcman","Cezary",30
20,"642 689 980","rgut-mostowy@onet.pl","Gut-Mostowy","Robert",25
20,"644 329 461","mkarpiński@wp.pl","Karpiński","Mirosław",30
20,"605 779 980","jrafalska@interia.pl","Rafalska","Jacek",25
20,"718 425 038","jraś@onet.pl","Raś","Jacek",30
20,"966 689 248","esmirnow@interia.pl","Smirnow","Eugeniusz",30
20,"164 826","btobiszowski@wp.pl","Tobiszowski","Beata",25
20,"476 120 863","jowczarski@aptekarz.pl","Owczarski","Jarosław",10
20,"456 621 567","nkalemba@interia.pl","Kalemba","Nelli",25
20,"443 151 604","dstefaniuk@bialan.pl","Stefaniuk","Domicela",20
20,"425 086 494","wbrudziński@aptekarz.pl","Brudziński","Wiesław",10
20,"296 755 550","rgórski@interia.pl","Górski","Ryszard",10
20,"611 806 606","wbukiewicz@onet.pl","Bukiewicz","Waldy",30
20,"430 734 724","jpięta@onet.pl","Pięta","Jan",10
20,"699 018 587","wbudnik@interia.pl","Budnik","Wiesław",25
20,"824 658 043","zaleksandrzak@interia.pl","Aleksandrzak","Zbysław",25
20,"12 749 000","dsuski@nocny-kwartet.pl","Suski","Danuta",25
20,"529 768 926","tchrapkiewicz@wp.pl","Chrapkiewicz","Tomasz",25
20,"293 031 210","mklepacz@aptekarz.pl","Klepacz","Michał",10
20,"471 679 514","pjarmuziewicz@interia.pl","Jarmuziewicz","Piotr",30
20,"700 817 448","estarownik@interia.pl","Starownik","Edward",25
20,"901 108 036","wbublewicz@onet.pl","Bublewicz","Wiesław",25
20,"729 846 544","azakrzewska@interia.pl","Zakrzewska","Andrzej",30
20,"448 393 006","sgibała@onet.pl","Gibała","Stanisław",25
20,"674 411 975","mkrasoń@aptekarz.pl","Krasoń","Marek",25
20,"124 832 284","mkłosin@interia.pl","Kłosin","Marzena",25
20,"422 230 748","tciemniak@interia.pl","Ciemniak","Tomasz",25
20,"733 231 164","tdolata@interia.pl","Dolata","Tadeusz",10
20,"956 756 164","kmotowidło@nocny-kwartet.pl","Motowidło","Katarzyna",30
20,"805 933 492","mkozaczyński@aptekarz.pl","Kozaczyński","Marek",25
20,"548 290 522","cszczerba@bialan.pl","Szczerba","Czesław",25
20,"925 354 632","bśliwińska@onet.pl","Śliwińska","Bogdan",25
20,"768 027 310","jpawłowski@interia.pl","Pawłowski","Janusz",20
20,"55 347 016","kmarianowska@nocny-kwartet.pl","Marianowska","Krzysztof",20
20,"990 646 816","kmichałkiewicz@onet.pl","Michałkiewicz","Kazimierz",25
20,"282 129 344","jrębek@aptekarz.pl","Rębek","Jacek",10
20,"373 454 530","irojek@wp.pl","Rojek","Izabela",25
20,"552 229 676","jpisalski@nocny-kwartet.pl","Pisalski","Jan",30
20,"945 502 068","wbłaszczak@wp.pl","Błaszczak","Wojciech",20
20,"989 220 384","sgłogowski@bialan.pl","Głogowski","Sławomir",10
20,"914 214 659","josuch@interia.pl","Osuch","Jarosław",20
20,"226 351 391","mkomołowski@nocny-kwartet.pl","Komołowski","Maria",10
20,"495 558 015","tczarnecki@aptekarz.pl","Czarnecki","Tomasz",10
20,"797 522 101","łkuchciński@nocny-kwartet.pl","Kuchciński","Łukasz",30
20,"60 592 664","sgierada@aptekarz.pl","Gierada","Stanisław",30
20,"351 704 808","irozpondek@wp.pl","Rozpondek","Iwona",30
20,"987 627 477","jnapieralski@wp.pl","Napieralski","Jolanta",25
20,"404 529 429","mkopacz@aptekarz.pl","Kopacz","Marek",25
20,"323 169 157","tchłopek@interia.pl","Chłopek","Tomasz",20
20,"180 918 207","jradziszewska@nocny-kwartet.pl","Radziszewska","Jacek",20
20,"807 301 804","wceliński@nocny-kwartet.pl","Celiński","Wacław",25
20,"276 075 844","jorzechowski@onet.pl","Orzechowski","Jarosław",25
20,"131 529 627","dstuligrosz@aptekarz.pl","Stuligrosz","Dariusz",25
20,"822 357 243","sdzięcioł@nocny-kwartet.pl","Dzięcioł","Stanisław",25
20,"536 096 069","jpaluch@aptekarz.pl","Paluch","Jarosław",20
20,"987 370 428","tdrzewiecki@nocny-kwartet.pl","Drzewiecki","Tadeusz",30
20,"618 732 189","zarent@interia.pl","Arent","Zbigniew",10
20,"396 618 755","jpolak@wp.pl","Polak","Jan",20
20,"292 449 130","jponcyljusz@nocny-kwartet.pl","Poncyljusz","Jakub",25
20,"106 127 811","awidacki@aptekarz.pl","Widacki","Anna",25
20,"936 499 406","pjaworski@wp.pl","Jaworski","Paweł",10
20,"305 852 938","phuskowski@onet.pl","Huskowski","Piotr",30
20,"666 153 719","bszulc@onet.pl","Szulc","Bożenna",25
20,"585 894 112","mkaźmierczak@interia.pl","Kaźmierczak","Mieczysław",25
20,"70 114 257","jolas@interia.pl","Olas","Jerzy",30
20,"956 203 689","lkwitek@interia.pl","Kwitek","Longin",25
20,"601 433 189","gseliga@wp.pl","Seliga","Grzegorz",25
20,"919 431 726","sdudziński@onet.pl","Dudziński","Szymon",1
20,"115 557 022","zadamczyk@aptekarz.pl","Adamczyk","Zenon",30
20,"525 390 124","jpilch@onet.pl","Pilch","Jan",25
20,"940 092 947","sgintowt-dziewałtowski@bialan.pl","Gintowt-Dziewałtowski","Sławomir",25
20,"2 205 374","kłatas@onet.pl","Łatas","Krzysztof",30
20,"547 092 478","sdutka@aptekarz.pl","Dutka","Stefan",25
20,"568 372 980","irokita-arnold@onet.pl","Rokita-Arnold","Izabela",1
20,"512 101 877","sgadowski@interia.pl","Gadowski","Stanisław",45
20,"206 672 444","pjackiewicz@interia.pl","Jackiewicz","Piotr",25
20,"648 384 377","btomczyk@aptekarz.pl","Tomczyk","Barbara",10
20,"714 394 604","kmacierewicz@wp.pl","Macierewicz","Krzysztof",10
20,"458 198 439","hrygiel@interia.pl","Rygiel","Henryk",30
20,"791 353 287","bszyszko@bialan.pl","Szyszko","Bogusław",10
20,"504 706 640","jorłowski@interia.pl","Orłowski","Jarosław",25
20,"222 630 320","nkaczyński@onet.pl","Kaczyński","Norbert",10
20,"36 295 579","mkopaczewska@wp.pl","Kopaczewska","Marek",10
20,"384 382 539","tchmielowiec@aptekarz.pl","Chmielowiec","Tomasz",30
20,"591 426 527","mkoźlakiewicz@interia.pl","Koźlakiewicz","Marek",25
20,"683 645 111","awolak@onet.pl","Wolak","Andrzej",25
20,"838 514 362","estaroń@onet.pl","Staroń","Edward",30
20,"276 055 428","zaugustyn@interia.pl","Augustyn","Zbigniew",10
20,"623 252 157","sfabisiak@onet.pl","Fabisiak","Stanisław",25
20,"724 871 075","gschetyna@onet.pl","Schetyna","Grzegorz",25
20,"438 606 150","mkochan@bialan.pl","Kochan","Mariusz",25
20,"512 491 344","cszkop@nocny-kwartet.pl","Szkop","Cezary",25
20,"106 562 200","aziemniak@nocny-kwartet.pl","Ziemniak","Adam",20
20,"940 716 707","esprawka@interia.pl","Sprawka","Elżbieta",30
20,"869 998 442","mkrząkała@interia.pl","Krząkała","Maciej",25
20,"6 796 772","zarndt@aptekarz.pl","Arndt","Zbigniew",30
20,"171 880 667","aurban@aptekarz.pl","Urban","Arkadiusz",25
20,"256 871 343","kmalik@nocny-kwartet.pl","Malik","Krzysztof",1
20,"777 107 669","rgrzegorek@wp.pl","Grzegorek","Robert",25
20,"172 136 856","ażaczek@interia.pl","Żaczek","Adam",30
20,"879 737 321","llipiński@interia.pl","Lipiński","Lena",20
20,"947 933 885","jpietraszewska@aptekarz.pl","Pietraszewska","Jan",30
20,"704 414 402","wborowski@nocny-kwartet.pl","Borowski","Witold",10
20,"526 952 150","btomaszak-zesiuk@onet.pl","Tomaszak-Zesiuk","Beata",10
20,"832 395 274","jnykiel@aptekarz.pl","Nykiel","Joachim",30
20,"834 927 822","kmatusik-lipiec@interia.pl","Matusik-Lipiec","Krystyna",20
20,"263 367 854","wbętkowski@wp.pl","Bętkowski","Wojciech",10
20,"727 520 468","tdrozd@interia.pl","Drozd","Tadeusz",30
20,"783 037 319","jmucha@nocny-kwartet.pl","Mucha","Józef",30
20,"186 493 463","azawadzki@bialan.pl","Zawadzki","Aleksander",20
20,"936 971 896","tćwierz@onet.pl","Ćwierz","Tadeusz",10
20,"863 734 712","rhalicki@aptekarz.pl","Halicki","Rafał",25
20,"360 380 186","sgolba@aptekarz.pl","Golba","Sławomir",25
20,"521 643 203","llipiec@interia.pl","Lipiec","Leszek",25
20,"198 401 311","sdziedziczak@nocny-kwartet.pl","Dziedziczak","Stanisława",25
20,"549 821 156","rgrzeszczak@aptekarz.pl","Grzeszczak","Robert",30
20,"746 552 101","dstrzałkowski@interia.pl","Strzałkowski","Dariusz",10
20,"20 670 875","wbrzezinka@nocny-kwartet.pl","Brzezinka","Wiesław",30
20,"833 548 818","sgąsior-marek@wp.pl","Gąsior-Marek","Stanisław",20
20,"583 456 661","kmatuszny@interia.pl","Matuszny","Konstanty",20
20,"341 284 347","mkamiński@nocny-kwartet.pl","Kamiński","Mirosława",30
20,"74 820 220","awielichowska@aptekarz.pl","Wielichowska","Anna",25
20,"591 544 986","azawiślak@aptekarz.pl","Zawiślak","Aleksander",30
20,"911 196 962","mkasprzak@onet.pl","Kasprzak","Mirosław",10
20,"801 965 450","kmazurek@bialan.pl","Mazurek","Kazimierz",30
20,"517 952 249","tdera@wp.pl","Dera","Tadeusz",10
20,"372 088 196","esitarz@bialan.pl","Sitarz","Ewa",10
20,"110 524 929","dsuski@bialan.pl","Suski","Danuta",25
20,"476 568 758","awziątek@wp.pl","Wziątek","Andrzej",30
20,"654 673 849","atusk@onet.pl","Tusk","Artur",25
20,"956 325 535","mkopyciński@onet.pl","Kopyciński","Marek",25
20,"279 097 064","fsierakowska@wp.pl","Sierakowska","Franciszek",10
20,"335 032 352","estanke@interia.pl","Stanke","Elżbieta",30
20,"197 132 177","sgalla@interia.pl","Galla","Stanisław",30
20,"172 125 378","zast@wp.pl","Ast","Zbigniew",25
20,"338 806 848","jmrzygłocka@onet.pl","Mrzygłocka","Julia",30
20,"465 211 241","dstawiarski@interia.pl","Stawiarski","Dorota",30
20,"456 248 205","atyszkiewicz@bialan.pl","Tyszkiewicz","Artur",30
20,"15 063 285","wbogucki@nocny-kwartet.pl","Bogucki","Włodzimierz",25
20,"166 074 511","dstolarczyk@wp.pl","Stolarczyk","Dawid",25
20,"775 027 287","sgawęda@wp.pl","Gawęda","Stanisław",10
20,"768 653 691","awojciechowski@interia.pl","Wojciechowski","Andrzej",25
20,"253 433 965","mkonwiński@nocny-kwartet.pl","Konwiński","Maria",25
20,"940 379 788","azalewska@wp.pl","Zalewska","Alicja",25
20,"402 133 432","awojtkowski@wp.pl","Wojtkowski","Andrzej",30
20,"550 413 875","wbiernat@interia.pl","Biernat","Wojciech",30
20,"289 121 950","mkołakowski@interia.pl","Kołakowski","Marian",10
20,"289 849 466","bszumilas@aptekarz.pl","Szumilas","Bożena",30
20,"207 807 338","ażelichowski@onet.pl","Żelichowski","Adam",10
20,"405 586 194","pjurgiel@onet.pl","Jurgiel","Paweł",30
20,"687 844 751","sdunin@wp.pl","Dunin","Sylwester",30
20,"876 893 327","wbłądek@onet.pl","Błądek","Wojciech",30
20,"359 399 757","mkasprzyk@bialan.pl","Kasprzyk","Miron",10
20,"99 523 842","mkrupa@wp.pl","Krupa","Magdalena",30
20,"30 426 623","awarzecha@interia.pl","Warzecha","Antoni",20
